,dif_min,temporada_alta,atraso_15,periodo_dia
0,3.0,0,0,noche
1,9.0,0,0,noche
2,9.0,0,0,noche
3,3.0,0,0,noche
4,-2.0,0,0,noche
5,34.0,0,1,noche
6,-5.0,0,0,noche
7,-5.0,0,0,noche
8,40.0,0,1,noche
9,69.0,0,1,noche
10,-9.0,0,0,noche
11,14.0,0,0,noche
12,-7.0,0,0,noche
13,-4.0,0,0,noche
14,-11.0,0,0,noche
15,-9.0,0,0,noche
16,-9.0,0,0,noche
17,-12.0,0,0,noche
18,15.0,0,0,noche
19,-2.0,0,0,noche
20,2.0,0,0,noche
21,8.0,0,0,noche
22,-5.0,0,0,noche
23,52.0,0,1,noche
24,-5.0,0,0,noche
25,0.0,0,0,noche
26,26.0,0,1,noche
27,-3.0,0,0,noche
28,-5.0,0,0,noche
29,2.0,0,0,noche
30,2.0,0,0,noche
31,-7.0,0,0,noche
32,-1.0,0,0,noche
33,5.0,0,0,noche
34,-4.0,0,0,noche
35,1.0,0,0,noche
36,-5.0,0,0,noche
37,3.0,0,0,noche
38,-2.0,0,0,noche
39,-4.0,0,0,noche
40,-6.0,0,0,noche
41,4.0,0,0,noche
42,-4.0,0,0,noche
43,-4.0,0,0,noche
44,-9.0,0,0,noche
45,-10.0,0,0,noche
46,0.0,0,0,noche
47,-2.0,0,0,noche
48,1.0,0,0,noche
49,-4.0,0,0,noche
50,10.0,0,0,noche
51,20.0,0,1,noche
52,11.0,0,0,noche
53,24.0,0,1,noche
54,-5.0,0,0,noche
55,-7.0,0,0,noche
56,14.0,0,0,noche
57,5.0,0,0,noche
58,0.0,0,0,noche
59,25.0,0,1,noche
60,1.0,0,0,noche
61,0.0,0,0,noche
62,-4.0,0,0,noche
63,13.0,0,0,noche
64,-3.0,0,0,noche
65,2.0,0,0,noche
66,-5.0,0,0,noche
67,0.0,0,0,noche
68,-2.0,0,0,noche
69,3.0,0,0,noche
70,-9.0,0,0,noche
71,5.0,0,0,noche
72,-3.0,0,0,noche
73,-4.0,0,0,noche
74,-10.0,0,0,noche
75,-9.0,0,0,noche
76,62.0,0,1,noche
77,2.0,0,0,noche
78,-8.0,0,0,noche
79,19.0,0,1,tarde
80,60.0,0,1,tarde
81,17.0,0,1,tarde
82,26.0,0,1,tarde
83,14.0,0,0,tarde
84,67.0,0,1,tarde
85,84.0,0,1,tarde
86,63.0,0,1,tarde
87,97.0,0,1,tarde
88,17.0,0,1,tarde
89,90.0,0,1,tarde
90,130.0,0,1,tarde
91,24.0,0,1,tarde
92,77.0,0,1,tarde
93,32.0,0,1,tarde
94,39.0,0,1,tarde
95,48.0,0,1,tarde
96,6.0,0,0,tarde
97,2.0,0,0,tarde
98,28.0,0,1,tarde
99,11.0,0,0,tarde
100,33.0,0,1,tarde
101,69.0,0,1,tarde
102,20.0,0,1,tarde
103,3.0,0,0,tarde
104,22.0,0,1,tarde
105,21.0,0,1,tarde
106,22.0,0,1,tarde
107,27.0,0,1,tarde
108,6.0,0,0,tarde
109,20.0,0,1,noche
110,17.0,0,1,noche
111,19.0,0,1,noche
112,47.0,0,1,noche
113,5.0,0,0,noche
114,63.0,0,1,noche
115,55.0,0,1,noche
116,53.0,0,1,noche
117,105.0,0,1,noche
118,20.0,0,1,noche
119,72.0,0,1,noche
120,26.0,0,1,noche
121,99.0,0,1,noche
122,52.0,0,1,noche
123,33.0,0,1,noche
124,147.0,0,1,noche
125,18.0,0,1,noche
126,25.0,0,1,noche
127,5.0,0,0,noche
128,21.0,0,1,noche
129,13.0,0,0,noche
130,21.0,0,1,noche
131,11.0,0,0,noche
132,-4.0,0,0,noche
133,-1.0,0,0,noche
134,8.0,0,0,noche
135,6.0,0,0,noche
136,-4.0,0,0,noche
137,6.0,0,0,noche
138,-4.0,0,0,tarde
139,0.0,0,0,tarde
140,3.0,0,0,tarde
141,-1.0,0,0,tarde
142,-10.0,0,0,tarde
143,16.0,0,1,tarde
144,-1.0,0,0,tarde
145,1.0,0,0,tarde
146,14.0,0,0,tarde
147,8.0,0,0,tarde
148,7.0,0,0,tarde
149,7.0,0,0,tarde
150,5.0,0,0,tarde
151,17.0,0,1,tarde
152,1.0,0,0,tarde
153,12.0,0,0,tarde
154,-3.0,0,0,tarde
155,33.0,0,1,tarde
156,6.0,0,0,tarde
157,-4.0,0,0,tarde
158,8.0,0,0,tarde
159,7.0,0,0,tarde
160,-1.0,0,0,tarde
161,3.0,0,0,tarde
162,-7.0,0,0,tarde
163,12.0,0,0,tarde
164,-2.0,0,0,tarde
165,7.0,0,0,tarde
166,14.0,0,0,tarde
167,14.0,0,0,tarde
168,-5.0,0,0,tarde
169,-11.0,0,0,noche
170,13.0,0,0,noche
171,-2.0,0,0,noche
172,-12.0,0,0,noche
173,7.0,0,0,noche
174,-1.0,0,0,noche
175,14.0,0,0,noche
176,-7.0,0,0,noche
177,-6.0,0,0,noche
178,0.0,0,0,noche
179,-3.0,0,0,noche
180,-9.0,0,0,noche
181,-4.0,0,0,noche
182,-2.0,0,0,noche
183,-7.0,0,0,noche
184,-3.0,0,0,noche
185,1.0,0,0,noche
186,4.0,0,0,noche
187,-9.0,0,0,noche
188,138.0,0,1,noche
189,-1.0,0,0,noche
190,-13.0,0,0,noche
191,-11.0,0,0,noche
192,-11.0,0,0,noche
193,-9.0,0,0,noche
194,-7.0,0,0,noche
195,-5.0,0,0,noche
196,-1.0,0,0,noche
197,-2.0,0,0,noche
198,13.0,0,0,noche
199,-9.0,0,0,noche
200,-1.0,0,0,noche
201,-10.0,0,0,mañana
202,2.0,0,0,mañana
203,-2.0,0,0,mañana
204,31.0,0,1,mañana
205,18.0,0,1,mañana
206,-13.0,0,0,mañana
207,-6.0,0,0,mañana
208,0.0,0,0,mañana
209,20.0,0,1,mañana
210,8.0,0,0,mañana
211,11.0,0,0,mañana
212,-8.0,0,0,mañana
213,88.0,0,1,mañana
214,17.0,0,1,mañana
215,27.0,0,1,mañana
216,2.0,0,0,mañana
217,1.0,0,0,mañana
218,33.0,0,1,mañana
219,11.0,0,0,mañana
220,2.0,0,0,mañana
221,10.0,0,0,mañana
222,-5.0,0,0,mañana
223,-1.0,0,0,mañana
224,-12.0,0,0,mañana
225,-5.0,0,0,mañana
226,-3.0,0,0,mañana
227,-10.0,0,0,mañana
228,3.0,0,0,mañana
229,1.0,0,0,mañana
230,1.0,0,0,mañana
231,35.0,0,1,mañana
232,-11.0,0,0,mañana
233,-11.0,0,0,mañana
234,-10.0,0,0,mañana
235,6.0,0,0,mañana
236,14.0,0,0,mañana
237,-7.0,0,0,mañana
238,-11.0,0,0,mañana
239,0.0,0,0,mañana
240,5.0,0,0,mañana
241,18.0,0,1,mañana
242,-8.0,0,0,mañana
243,-1.0,0,0,mañana
244,-11.0,0,0,mañana
245,17.0,0,1,mañana
246,15.0,0,0,mañana
247,1.0,0,0,mañana
248,-4.0,0,0,mañana
249,30.0,0,1,mañana
250,-13.0,0,0,mañana
251,-4.0,0,0,mañana
252,-5.0,0,0,mañana
253,-6.0,0,0,mañana
254,-7.0,0,0,tarde
255,5.0,0,0,tarde
256,25.0,0,1,tarde
257,4.0,0,0,tarde
258,-10.0,0,0,tarde
259,11.0,0,0,tarde
260,-14.0,0,0,tarde
261,-2.0,0,0,tarde
262,-3.0,0,0,tarde
263,7.0,0,0,tarde
264,9.0,0,0,tarde
265,42.0,0,1,tarde
266,9.0,0,0,tarde
267,4.0,0,0,tarde
268,-9.0,0,0,tarde
269,-8.0,0,0,tarde
270,-7.0,0,0,tarde
271,6.0,0,0,tarde
272,-5.0,0,0,tarde
273,0.0,0,0,tarde
274,-9.0,0,0,tarde
275,-6.0,0,0,tarde
276,1.0,0,0,tarde
277,-2.0,0,0,tarde
278,-3.0,0,0,tarde
279,1.0,0,0,tarde
280,-3.0,0,0,tarde
281,-4.0,0,0,tarde
282,-3.0,0,0,tarde
283,-12.0,0,0,tarde
284,14.0,0,0,tarde
285,-6.0,0,0,noche
286,-1.0,0,0,noche
287,28.0,0,1,noche
288,-1.0,0,0,noche
289,-1.0,0,0,noche
290,-8.0,0,0,noche
291,8.0,0,0,noche
292,12.0,0,0,noche
293,-8.0,0,0,noche
294,-3.0,0,0,noche
295,37.0,0,1,noche
296,4.0,0,0,noche
297,7.0,0,0,noche
298,-3.0,0,0,noche
299,9.0,0,0,noche
300,-1.0,0,0,noche
301,-4.0,0,0,noche
302,3.0,0,0,noche
303,-6.0,0,0,noche
304,8.0,0,0,noche
305,7.0,0,0,noche
306,-7.0,0,0,noche
307,-2.0,0,0,noche
308,-8.0,0,0,noche
309,1.0,0,0,noche
310,-14.0,0,0,noche
311,-10.0,0,0,noche
312,-11.0,0,0,noche
313,-2.0,0,0,noche
314,27.0,0,1,mañana
315,4.0,0,0,mañana
316,-2.0,0,0,mañana
317,15.0,0,0,mañana
318,1.0,0,0,noche
319,3.0,0,0,noche
320,22.0,0,1,noche
321,26.0,0,1,noche
322,4.0,0,0,noche
323,14.0,0,0,noche
324,7.0,0,0,noche
325,87.0,0,1,noche
326,-1.0,0,0,noche
327,-14.0,0,0,noche
328,0.0,0,0,noche
329,27.0,0,1,noche
330,8.0,0,0,noche
331,10.0,0,0,noche
332,5.0,0,0,noche
333,1.0,0,0,noche
334,-9.0,0,0,noche
335,15.0,0,0,noche
336,1.0,0,0,noche
337,21.0,0,1,noche
338,-1.0,0,0,noche
339,-13.0,0,0,noche
340,21.0,0,1,noche
341,-5.0,0,0,noche
342,-2.0,0,0,noche
343,6.0,0,0,noche
344,-1.0,0,0,noche
345,-2.0,0,0,noche
346,-8.0,0,0,noche
347,-6.0,0,0,mañana
348,3.0,0,0,mañana
349,16.0,0,1,mañana
350,65.0,0,1,tarde
351,27.0,0,1,mañana
352,0.0,0,0,mañana
353,-2.0,0,0,mañana
354,2.0,0,0,mañana
355,-2.0,0,0,mañana
356,-7.0,0,0,mañana
357,-3.0,0,0,mañana
358,40.0,0,1,mañana
359,11.0,0,0,mañana
360,-3.0,0,0,mañana
361,16.0,0,1,mañana
362,13.0,0,0,mañana
363,1.0,0,0,mañana
364,13.0,0,0,mañana
365,-2.0,0,0,mañana
366,-3.0,0,0,mañana
367,-7.0,0,0,mañana
368,28.0,0,1,mañana
369,0.0,0,0,mañana
